编号,片区,对象,节点公式,节点,灯具公式,灯具,假设依据
MAIN-ROOM,PA01,主楼教室,1 × 10 × 10,100,100 × 12,1200,用户给定10层×每层10间教室；每教室12灯、1控制节点为已确认估算口径
MAIN-CORRIDOR,PA01,主楼公共走廊,1 × 10 × 4,40,40 × 3,120,每层4个独立控制段，每段3灯；不含楼梯
MAIN-STAIR,PA01,主楼楼梯间,1 × 10 × 2,20,20 × 2,40,每层2处楼梯照明区，每区2灯
MAIN-ENTRY,PA01,主楼出入口,1 × 1 × 2,2,2 × 2,4,2处出入口，每处2灯
MAIN-ROAD,PA01,主楼专属环路,1 × (ceil(400/25) + 0),16,16 × 1,16,分区分配的道路长度与25m间距均为设计假设，非地图量测或照明规范结论；每杆1灯1节点
TEACH-ROOM,PA02,教一至教四教室,4 × 6 × 8,192,192 × 12,2304,地图确认4栋；每栋6层、每层8间教室均为估算
TEACH-CORRIDOR,PA02,教学楼公共走廊,4 × 6 × 4,96,96 × 3,288,每层4段，每段3灯
TEACH-STAIR,PA02,教学楼楼梯间,4 × 6 × 2,48,48 × 2,96,每层2处楼梯照明区，每区2灯
TEACH-ENTRY,PA02,教学楼出入口,4 × 1 × 2,8,8 × 2,16,每栋2处，每处2灯；外部道路统一归PA07
LIB-READ,PA03,图书馆阅览及书库分区,1 × 6 × 8,48,48 × 12,576,6层×每层8个照明分区，每区12灯；分区不是独立房间实测数
LIB-COMMON,PA03,图书馆走廊与楼梯,1 × 6 × 6,36,36 × 2,72,每层公共空间合计6个控制区，每区2灯
ACTIVITY,PA03,学生活动中心,1 × 3 × 6,18,18 × 8,144,3层×每层6个照明区，每区8灯
CANTEEN,PA03,学生食堂公共区,1 × 2 × 8,16,16 × 10,160,地图学生食堂按2层、每层8区估算；归PA03且不在PA05重复计数
LIB-PATH,PA03,图书馆及活动中心专属步道,1 × (ceil(300/25) + 1),13,13 × 1,13,分区分配的道路长度与25m间距均为设计假设，非地图量测或照明规范结论；每杆1灯1节点
SPORT-FIELD,PA04,体育场高杆灯,1 × 1 × 8,8,8 × 4,32,8杆，每杆4盏泛光灯、1节点；非照度设计结论
SPORT-GYM,PA04,体育馆分区,1 × 1 × 4,4,4 × 12,48,4个照明控制区，每区12灯
SPORT-POOL,PA04,游泳馆分区,1 × 1 × 4,4,4 × 8,32,4个照明控制区，每区8灯
SPORT-BASKET,PA04,篮球场灯杆,4 × 1 × 4,16,16 × 2,32,地图球场区域按4片场地估算，每片4杆、每杆2灯
SPORT-TENNIS,PA04,网球排球活动区灯杆,2 × 1 × 4,8,8 × 2,16,按2片场地估算，每片4杆、每杆2灯
SPORT-PATH,PA04,体育场馆及健身步道,1 × (ceil(400/25) + 1),17,17 × 1,17,分区分配的道路长度与25m间距均为设计假设，非地图量测或照明规范结论；每杆1灯1节点
DORM-CORRIDOR,PA05,公寓公共走廊,13 × 6 × 4,312,312 × 3,936,地图公寓建筑群按13栋公共照明单元估算（含留学生等公寓）；每栋6层，不含宿舍房间
DORM-STAIR,PA05,公寓楼梯间,13 × 6 × 2,156,156 × 2,312,与走廊相同13栋、6层，每层2区、每区2灯
DORM-ENTRY,PA05,公寓出入口,13 × 1 × 2,26,26 × 2,52,每栋2处，每处2灯；不重复计算食堂
SERVICE,PA05,学生综合服务及商业公共区,2 × 2 × 4,16,16 × 6,96,合并为2个公共服务建筑单元，每单元2层、每层4区、每区6灯
DORM-PATH,PA05,公寓组团内部步道,1 × (ceil(600/25) + 1),25,25 × 1,25,分区分配的道路长度与25m间距均为设计假设，非地图量测或照明规范结论；每杆1灯1节点
RESEARCH-ROOM,PA06,科研楼与协同创新中心公共工作区,2 × 8 × 8,128,128 × 8,1024,地图2栋按各8层、每层8个公共工作照明区估算，每区8灯
RESEARCH-CORRIDOR,PA06,科研楼走廊,2 × 8 × 4,64,64 × 3,192,每层4段，每段3灯
RESEARCH-STAIR,PA06,科研楼楼梯间,2 × 8 × 2,32,32 × 2,64,每层2区，每区2灯
HALL,PA06,科学会堂,1 × 3 × 6,18,18 × 8,144,按3层、每层6个公共照明区估算，每区8灯
RESEARCH-ENTRY,PA06,科研及会堂出入口,3 × 1 × 2,6,6 × 2,12,3栋各2处，每处2灯；楼外道路归PA07
ROAD-NS,PA07,校园南北向公共干路,2 × (ceil(650/25) + 1),54,54 × 1,54,分区分配的道路长度与25m间距均为设计假设，非地图量测或照明规范结论；每杆1灯1节点
ROAD-EW,PA07,校园东西向公共干路,3 × (ceil(400/25) + 1),51,51 × 1,51,分区分配的道路长度与25m间距均为设计假设，非地图量测或照明规范结论；每杆1灯1节点
GATE,PA07,四个校门照明,4 × 1 × 4,16,16 × 1,16,东、西、南、北门各4盏；不含道路路灯
PARKING,PA07,停车与公共广场,4 × 1 × 6,24,24 × 1,24,按4处公共空间、每处6杆估算；不含体育场专属照明
PUBLIC-ROAD,PA08,家属区及公共服务专属道路,1 × (ceil(500/25) + 1),21,21 × 1,21,分区分配的道路长度与25m间距均为设计假设，非地图量测或照明规范结论；每杆1灯1节点
HOSPITAL,PA08,校医院公共走廊与楼梯,1 × 4 × 4,16,16 × 3,48,4层、每层4个公共区、每区3灯；不含诊室专用照明
KINDER,PA08,幼儿园公共活动区,1 × 3 × 3,9,9 × 6,54,3层、每层3区、每区6灯；无个人数据采集
PUBLIC-ENTRY,PA08,医院幼儿园及家属区公共入口,3 × 1 × 2,6,6 × 2,12,3组公共入口各2区、每区2灯；不含住户室内照明
